img,curvature,torsion,degree,cluster number
30_13,2.108099475,3.107889648,30,1
10_41,0.6902118277,1.051081228,10,1
10_21,0.3984604762,0.7324033532,10,1
30_33,1.253682692,1.862815218,30,1
10_19,0.5639268547,0.8487061248,10,1
10_01,0.6825134546,1.355807151,10,1
10_38,0.4894792533,0.9294785894,10,1
10_27,0.6133641874,1.223141093,10,1
10_36,0.60864338,1.130814918,10,1
10_46,4.654015344,1.436190749,10,2
10_02,1.862090275,1.516387816,10,2
10_03,2.314312645,1.570059567,10,2
10_11,2.492108553,1.590267959,10,2
10_15,3.187640048,1.665234575,10,2
10_16,5.063184437,1.842981508,10,2
10_09,2.455450012,1.586139363,10,2
10_07,2.333232934,1.572232512,10,2
10_08,2.335127581,1.572449807,10,2
10_14,3.046066583,1.650458546,10,2
10_13,2.817685087,1.626121558,10,2
10_12,2.523112189,1.593744672,10,2
10_10,2.482444908,1.589181486,10,2
10_04,2.327551849,1.571580629,10,2
10_45,4.32943982,1.388544947,10,2
10_05,2.329445068,1.571797923,10,2
10_06,2.331338763,1.572015218,10,2
10_48,2.063842013,1.466749781,10,2
10_44,3.771998781,1.320526456,10,2
10_43,3.028654201,1.222277525,10,2
30_14,6.263072532,7.044506304,30,2
10_40,5.182260982,1.396926842,10,3
10_39,2.757353,1.194811121,10,3
10_32,6.114069307,1.79024804,10,3
10_26,3.528033579,1.056076819,10,3
10_25,3.971638235,1.090123163,10,3
10_23,2.56110549,0.9751584524,10,3
10_17,5.642715374,1.892524663,10,3
10_18,5.746938959,1.901216444,10,3
30_34,2.187799921,2.902957276,30,3
10_47,4.70290395,1.462806681,10,3
30_35,2.312802658,3.026233371,30,3
30_36,3.123411918,3.763321694,30,3
10_35,6.890366243,1.849076562,10,3
30_19,7.088434279,7.660886783,30,3
10_20,4.168705462,1.212541981,10,3
10_31,6.02852816,1.783580808,10,3
10_37,4.835352465,1.58238477,10,3
10_33,6.795169232,1.842017139,10,3
10_28,5.252509752,1.721222575,10,3
10_30,5.271499544,1.722791336,10,3
10_34,6.805719184,1.84280152,10,3
10_29,5.266749519,1.722399146,10,3
10_24,3.716780763,1.07076805,10,4
10_22,2.375886368,0.9583684744,10,4
40_05,5.738630276,13.66907592,40,4
40_07,7.437250301,15.58193765,40,4
40_02,3.90877261,11.19859029,40,4
40_03,4.054287522,11.41740473,40,4
40_04,4.135452337,11.53739975,40,4
